,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
206,42301,122,112,0,124,2.9549546979978913e-05,0.0020359637869205474
207,42501,123,109,109,145,7.387292222257201e-06,0.0005089844341135211
208,42702,121,112,0,0,2.9549546979978913e-05,0.0020359637869205474
209,42904,123,109,109,145,7.387292222257201e-06,0.0005089844341135211
210,43107,125,112,97,147,2.9549546979978913e-05,0.0020359637869205474
211,43307,122,109,109,145,7.387292222257201e-06,0.0005089844341135211
212,43508,122,109,109,145,7.387292222257201e-06,0.0005089844341135211
213,43708,123,112,0,137,2.9549546979978913e-05,0.0020359637869205474
214,43908,124,112,11,143,2.9549546979978913e-05,0.0020359637869205474
215,44111,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
216,44312,125,112,102,147,2.9549546979978913e-05,0.0020359637869205474
217,44513,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
218,44709,124,112,86,146,2.9549546979978913e-05,0.0020359637869205474
219,44915,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
220,45118,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
221,45320,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
222,45522,122,109,109,144,7.387292222257201e-06,0.0005089844341135211
223,45721,121,109,72,134,7.387292222257201e-06,0.0005089844341135211
224,45923,122,109,109,143,7.387292222257201e-06,0.0005089844341135211
225,46126,122,109,109,143,7.387292222257201e-06,0.0005089844341135211
226,46327,123,112,41,143,2.9549546979978913e-05,0.0020359637869205474
227,46529,122,112,0,135,2.9549546979978913e-05,0.0020359637869205474
228,46731,121,109,109,143,7.387292222257201e-06,0.0005089844341135211
229,46934,121,112,0,0,2.9549546979978913e-05,0.0020359637869205474
230,47137,123,112,0,138,2.9549546979978913e-05,0.0020359637869205474
231,47336,120,113,0,54,3.693709126556232e-05,0.002544965588197244
232,47542,121,109,109,142,7.387292222257201e-06,0.0005089844341135211
233,47741,121,109,109,142,7.387292222257201e-06,0.0005089844341135211
234,47943,121,109,109,142,7.387292222257201e-06,0.0005089844341135211
235,48144,121,109,109,142,7.387292222257201e-06,0.0005089844341135211
236,48344,123,112,52,142,2.9549546979978913e-05,0.0020359637869205474
237,48544,121,109,109,142,7.387292222257201e-06,0.0005089844341135211
238,48745,123,112,64,142,2.9549546979978913e-05,0.0020359637869205474
239,48947,121,109,109,141,7.387292222257201e-06,0.0005089844341135211
240,49148,123,112,21,140,2.9549546979978913e-05,0.0020359637869205474
241,49349,121,109,109,141,7.387292222257201e-06,0.0005089844341135211
242,49550,123,112,100,144,2.9549546979978913e-05,0.0020359637869205474
243,49755,121,109,109,141,7.387292222257201e-06,0.0005089844341135211
244,49957,121,109,109,141,7.387292222257201e-06,0.0005089844341135211
245,50159,122,112,0,136,2.9549546979978913e-05,0.0020359637869205474
246,50358,123,112,101,143,2.9549546979978913e-05,0.0020359637869205474
247,50558,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
248,50762,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
249,50964,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
250,51166,122,112,0,136,2.9549546979978913e-05,0.0020359637869205474
251,51366,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
252,51566,121,112,0,130,2.9549546979978913e-05,0.0020359637869205474
253,51768,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
254,51969,121,109,109,140,7.387292222257201e-06,0.0005089844341135211
255,52170,122,112,14,138,2.9549546979978913e-05,0.0020359637869205474
256,52370,122,112,0,133,2.9549546979978913e-05,0.0020359637869205474
257,52570,120,109,109,139,7.387292222257201e-06,0.0005089844341135211
258,52772,123,112,99,141,2.9549546979978913e-05,0.0020359637869205474
259,52973,120,109,109,139,7.387292222257201e-06,0.0005089844341135211
260,53175,120,109,109,139,7.387292222257201e-06,0.0005089844341135211
261,53379,123,112,82,140,2.9549546979978913e-05,0.0020359637869205474
262,53579,120,109,109,139,7.387292222257201e-06,0.0005089844341135211
263,53781,120,109,109,139,7.387292222257201e-06,0.0005089844341135211
264,53983,121,112,0,133,2.9549546979978913e-05,0.0020359637869205474
265,54185,120,109,109,138,7.387292222257201e-06,0.0005089844341135211
266,54388,123,112,102,141,2.9549546979978913e-05,0.0020359637869205474
267,54590,121,110,108,139,1.4774647458831252e-05,0.0010179732099134732
268,54792,120,109,109,138,7.387292222257201e-06,0.0005089844341135211
269,54993,120,109,109,138,7.387292222257201e-06,0.0005089844341135211
270,55197,121,112,0,130,2.9549546979978913e-05,0.0020359637869205474
271,55400,120,109,109,138,7.387292222257201e-06,0.0005089844341135211
272,55601,118,113,0,0,3.693709126556232e-05,0.002544965588197244
273,55798,120,109,109,138,7.387292222257201e-06,0.0005089844341135211
274,56003,122,112,101,140,2.9549546979978913e-05,0.0020359637869205474
275,56206,122,111,107,138,2.2162065711405158e-05,0.0015269663275158155
276,56406,120,113,0,128,3.693709126556232e-05,0.002544965588197244
277,56608,118,113,0,0,3.693709126556232e-05,0.002544965588197244
