time,ax,ay,az,aT
3.012,-0.4555,-0.6714,-0.1875,0.833
3.021,-0.013,-0.2696,-0.2845,0.392
3.062,0.1351,0.7134,1.0395,1.268
3.062,-0.1386,0.8938,-0.8363,1.232
3.063,-0.0971,0.0437,-0.525,0.536
3.064,-0.3412,-0.4894,-0.7476,0.957
3.072,0.3971,-0.3124,0.7153,0.876
3.082,-0.2254,-0.1291,1.2934,1.319
3.1,0.0182,0.8211,0.3645,0.899
3.102,0.2187,0.1487,-0.2891,0.392
3.132,-0.1944,-0.6986,0.3945,0.826
3.134,-0.0563,-0.7186,1.4659,1.634
3.135,-0.3454,0.0319,-0.4196,0.544
3.142,0.2261,0.3375,0.5429,0.678
3.152,0.243,-0.3067,-0.8529,0.938
3.163,-0.258,-0.5638,-0.0102,0.62
3.172,0.1417,-0.143,0.3896,0.439
3.181,0.4634,0.4886,-0.6327,0.924
3.198,0.4278,0.8266,0.4327,1.026
3.201,0.4133,-0.2356,-0.0953,0.485
3.228,-0.4183,-0.3318,0.0053,0.534
3.23,-0.5779,-0.518,-0.6376,1.004
3.232,-0.1392,0.1139,-0.3228,0.37
3.241,0.0937,-0.0519,0.933,0.939
3.253,-0.5153,-0.4438,-1.0243,1.229
3.263,-0.8055,-1.2017,-1.2362,1.903
3.272,-0.3465,-0.95,-0.3755,1.079
3.285,-0.4245,-0.618,0.6755,1.009
3.326,0.1402,-0.3588,0.2769,0.474
3.328,-0.0728,-0.5182,-0.8664,1.012
3.329,-0.2814,-0.9792,-0.7813,1.284
3.33,-0.4195,-0.3284,-0.4976,0.729
3.332,0.4596,0.3615,-0.3203,0.667
3.341,0.8925,1.225,1.127,1.889
3.352,0.5469,0.2049,-0.7011,0.912
3.363,-0.3781,-0.6848,-1.1045,1.353
3.372,0.0322,-0.4914,-0.5898,0.768
3.381,0.6863,0.8171,0.5619,1.206
3.399,0.1148,0.7506,-0.2319,0.794
3.407,0.1038,-0.1307,0.5043,0.531
3.413,0.5739,-0.3444,0.4037,0.782
3.435,-0.3468,-0.4862,0.3474,0.691
3.438,0.3334,0.8724,0.2683,0.972
3.442,0.6978,0.4484,-0.0334,0.83
3.453,0.4744,-0.2312,0.4178,0.673
3.463,-0.2634,-0.5657,-1.3743,1.509
3.472,-1.2485,-1.0595,-0.6178,1.75
3.482,-0.3137,0.4551,-0.6393,0.845
3.501,0.2911,0.6336,0.7817,1.047
3.503,0.1662,-0.0486,0.3303,0.373
3.538,0.2694,-0.4214,0.1184,0.514
3.54,-0.7123,-0.7095,-0.3353,1.06
3.542,0.2273,0.6575,0.043,0.697
3.544,0.84,0.0982,0.5913,1.032
3.552,0.1932,0.3703,0.723,0.835
3.563,0.2393,-0.0722,-1.0213,1.051
3.572,-0.521,0.0132,-0.7137,0.884
3.581,-0.429,0.1196,-0.3928,0.594
3.6,0.1126,0.3992,0.602,0.731
3.608,-0.065,0.0322,-0.2587,0.269
3.639,-0.6241,-0.7755,-0.5951,1.16
3.641,-0.7238,-0.5242,-1.0176,1.354
3.643,0.1419,0.6535,-0.4322,0.796
3.644,0.6872,0.914,0.4226,1.219
3.653,0.1469,-0.0121,0.2718,0.309
3.663,-0.0172,-0.6294,-0.3639,0.727
3.672,-0.4206,-0.6689,-0.2921,0.842
3.682,0.0222,0.6785,0.3687,0.773
3.692,0.3868,0.8997,0.2838,1.02
3.702,0.1111,0.0025,0.8548,0.862
3.712,0.7282,-0.2582,0.1413,0.785
3.742,-0.2873,-0.7467,-1.1337,1.388
3.744,-0.6966,0.182,-0.8212,1.092
3.746,-0.1569,1.1635,-0.0131,1.174
3.752,0.4143,0.3026,-0.4333,0.672
3.763,0.8346,0.5596,1.0918,1.484
3.773,-0.2581,0.3131,-1.5694,1.621
3.783,-0.697,-0.2128,-0.1425,0.743
3.792,-0.4357,0.5828,-0.7278,1.029
3.805,-0.4318,0.5772,-0.7277,1.024
3.846,-0.2618,-0.3843,-1.0186,1.12
3.847,-0.4155,-0.1388,-1.3094,1.381
3.847,-0.5306,0.3499,-0.742,0.977
3.848,0.025,0.7563,-0.0045,0.757
3.852,0.231,-0.2799,0.1932,0.411
3.862,-0.1748,-0.633,-0.3096,0.726
3.872,0.0172,-0.5336,-0.1384,0.551
3.882,0.2783,0.4843,-0.1013,0.568
3.903,0.2355,0.2328,0.2734,0.429
3.907,0.3849,0.5256,0.2363,0.693
3.95,0.8061,-0.1661,0.192,0.845
3.952,0.1629,-0.0897,0.4685,0.504
3.953,0.4009,0.9529,-0.5862,1.188
3.954,0.3695,0.467,-0.1553,0.615
3.956,0.1798,0.1075,-0.3277,0.389
3.963,-0.0059,-0.544,-0.8341,0.996
3.972,0.2248,-0.0913,0.7077,0.748
3.993,0.1612,0.6242,-1.9164,2.022
4.002,0.3978,0.5864,0.1941,0.735
4.003,0.2537,-0.3359,-1.0976,1.176
4.013,0.1749,-0.962,0.3018,1.023
4.022,-0.5245,-0.781,-0.5087,1.07
4.066,0.2611,0.6213,-0.249,0.718
4.066,0.0556,0.0667,-0.8153,0.82
4.067,0.2154,-0.334,0.2346,0.462
