time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z
93700,4.5,5.5,-214.0,1.0,4.5,-212.0
93720,47.0,0.0,-312.0,44.0,0.0,-384.0
93730,-62.0,80.0,-503.5,26.5,144.5,-487.0
93740,-504.0,96.0,-495.0,-248.0,64.0,-510.0
93750,33.0,60.0,-340.0,33.0,60.0,-340.0
93760,136.0,-503.0,-512.0,136.0,-503.0,-512.0
93770,169.0,-304.0,-504.0,198.0,-368.0,-496.0
93780,-244.0,-512.0,-510.0,-244.0,-512.0,-510.0
93790,4.0,0.0,-384.0,4.0,0.0,-384.0
93800,-14.0,63.0,-320.0,-14.0,63.0,-320.0
93810,202.0,128.0,-192.0,106.0,134.0,-320.0
93820,10.0,140.0,-448.0,9.0,130.0,-432.0
93830,35.0,176.0,-438.5,35.0,176.0,-438.5
93840,2.0,254.0,-376.0,2.0,254.0,-376.0
93850,7.5,187.0,-402.0,7.5,187.0,-402.0
93860,8.0,259.0,-252.0,8.0,259.0,-252.0
93870,102.5,40.0,-359.5,38.0,40.0,-325.5
93880,68.0,-176.0,-403.0,20.0,-173.0,-252.0
93890,260.0,-460.5,-380.0,268.0,-220.5,-375.0
93900,260.0,131.0,-432.0,260.0,131.0,-432.0
93910,-216.5,93.0,-431.0,-216.5,93.0,-431.0
93920,-55.0,111.0,-247.0,-55.0,111.0,-247.0
93930,67.0,36.0,-256.0,67.0,36.0,-256.0
93940,43.5,269.5,-351.0,67.5,338.5,-334.0
93950,289.0,391.0,-432.0,293.0,-9.0,-270.0
93960,-156.0,0.0,-272.0,-156.0,0.0,-272.0
93970,-80.5,48.0,-304.0,-80.5,48.0,-304.0
93980,170.0,128.0,-248.0,170.0,128.0,-248.0
93990,33.0,163.0,-220.0,33.0,163.0,-220.0
94000,38.0,-512.0,-512.0,38.0,-512.0,-512.0
94010,0.0,-376.0,-490.0,0.0,-376.0,-490.0
94020,8.5,-255.0,-352.0,35.0,-256.0,-256.0
94030,35.0,97.0,-192.0,128.0,1.0,-176.0
94040,4.0,81.0,-235.0,4.0,81.0,-235.0
94050,-119.0,487.0,-252.0,-119.0,487.0,-252.0
94060,-84.0,160.0,-372.0,-84.0,160.0,-372.0
94070,40.0,52.5,-189.0,40.0,52.5,-189.0
94080,142.0,36.0,-158.0,142.0,36.0,-158.0
94090,41.5,32.0,-318.0,39.5,-95.5,-239.0
94100,1.0,-489.0,-287.0,1.0,-489.0,-287.0
94110,71.0,-512.0,-383.0,71.0,-512.0,-383.0
94120,1.0,0.0,-504.0,1.0,0.0,-504.0
94130,0.0,256.0,-506.0,0.0,256.0,-506.0
94140,6.0,193.0,-237.0,36.0,180.0,-365.0
94150,194.0,65.0,-444.0,194.0,65.0,-444.0
94160,6.0,64.0,-507.0,16.0,184.0,-347.0
94170,0.5,33.0,-382.5,0.5,33.0,-382.5
94180,0.0,47.0,-256.0,0.0,47.0,-256.0
94190,-96.0,494.0,-415.0,-96.0,494.0,-415.0
94200,-126.0,160.0,-382.0,27.0,274.0,-306.0
94210,122.0,202.5,-235.0,80.0,8.5,-239.0
94220,1.0,-364.0,-496.0,1.0,-364.0,-496.0
94230,32.0,23.0,-456.0,32.0,23.0,-456.0
94240,81.5,12.0,-484.0,4.0,162.0,-511.0
94250,-254.0,1.0,-480.0,-254.0,1.0,-480.0
94260,-182.0,36.0,-380.0,-182.0,36.0,-380.0
94270,49.0,192.0,-336.0,-255.0,224.0,-328.0
94280,68.0,160.0,-478.0,68.0,160.0,-478.0
94290,-115.5,-439.0,-476.5,-115.5,-439.0,-476.5
94300,4.0,0.0,-512.0,8.0,0.0,-509.0
94310,-246.0,-336.0,-304.0,-246.0,-336.0,-304.0
94320,163.0,252.0,-255.0,163.0,252.0,-255.0
94330,1.0,370.0,-238.0,0.0,32.0,-430.0
